issuer,unique_certificate_count,raw_event_count,duplicate_event_count
Let's Encrypt,922548,1693929,771381
Google Trust Services,286010,451699,165689
ZeroSSL GmbH,237152,309051,71899
Amazon,138709,281090,142381
GoDaddy.com,70283,106746,36463
Hellenic Academic and Research Institutions CA,58856,59004,148
Sectigo Limited,44631,51562,6931
Microsoft Corporation,35528,58362,22834
DigiCert Inc,21157,37378,16221
SSL Corporation,8339,16637,8298
"GoDaddy.com, Inc.",6207,11983,5776
IdenTrust,4075,4198,123
GlobalSign nv-sa,2882,5084,2202
ZeroSSL,1629,2246,617
"TrustAsia Technologies, Inc.",1551,2668,1117
"DigiCert, Inc.",775,1633,858
Certainly,336,1258,922
"Starfield Technologies, Inc.",222,362,140
Actalis S.p.A.,177,304,127
"cPanel, LLC",115,129,14
nazwa.pl Sp. z o.o.,96,154,58
home.pl S.A.,90,148,58
"Japan Registry Services Co., Ltd.",80,99,19
Meraki LLC,65,127,62
Gandi SAS,62,105,43
Entrust Limited,60,125,65
TK Elevator GmbH,55,86,31
"InCommon, LLC",48,74,26
Google UK Ltd.,46,61,15
"Network Solutions, LLC",46,53,7
Asseco Data Systems S.A.,39,62,23
GoGetSSL,37,51,14
cyber_Folks S.A.,21,33,12
Apple Inc.,17,41,24
Starfield Technologies,17,27,10
CloudSecure Corporation,16,34,18
WISeKey,16,73,57
TAIWAN-CA,13,20,7
"Cybertrust Japan Co., Ltd.",12,16,4
SwissSign AG,12,18,6
REDE NACIONAL DE ENSINO E PESQUISA - RNP,11,21,10
SSL2BUY EMEA LLC,11,13,2
Soluciones Corporativas IP SL,10,12,2
Trust Provider B.V.,9,12,3
LH.pl Sp. z o.o.,8,9,1
Corporation Service Company,7,13,6
"Nijimo, Inc.",7,13,6
PerfectSSL,6,10,4
Alpiro s.r.o.,5,7,2
"Vitalwerks Internet Solutions, LLC",5,10,5
WoTrus CA Limited,5,6,1
Xin Net Technology Corp.,4,5,1
Key-Systems GmbH,3,5,2
Valid Certificadora Digital LTDA,3,6,3
sslTrus Inc.,3,3,0
COMODO CA Limited,2,2,0
"DNSPod, Inc.",2,3,1
Isimtescil Bilisim A.S.,2,2,0
Network Solutions L.L.C.,2,2,0
SERVICO FEDERAL DE PROCESSAMENTO DE DADOS (SERPRO),2,2,0
Unizeto Technologies S.A.,2,9,7
Abitab S.A.,1,1,0
CentralNic Luxembourg Sàrl,1,1,0
DigiCert Ireland Limited,1,1,0
Gandi,1,1,0
Hao Quang Viet Software Company Limited,1,3,2
Hongkong Post,1,1,0
NAVER Cloud Trust Services Corp.,1,1,0
Shanghai Huandu Info Tech Co. Ltd.,1,1,0
sslTrus,1,1,0
