minute_utc,minute_local,display_timezone,certificate_events,unique_certificates,domain_occurrences,unique_fqdns
2026-05-25 18:00:00+00:00,05-25 20:00,Europe/Berlin,61498,54676,110671,72490
2026-05-25 18:01:00+00:00,05-25 20:01,Europe/Berlin,67881,62524,121698,78656
2026-05-25 18:02:00+00:00,05-25 20:02,Europe/Berlin,69322,58406,127238,79087
2026-05-25 18:03:00+00:00,05-25 20:03,Europe/Berlin,68645,61930,126463,80675
2026-05-25 18:04:00+00:00,05-25 20:04,Europe/Berlin,71304,57210,130408,76244
2026-05-25 18:05:00+00:00,05-25 20:05,Europe/Berlin,67387,59584,121968,76577
2026-05-25 18:06:00+00:00,05-25 20:06,Europe/Berlin,55326,48921,99596,65008
2026-05-25 18:07:00+00:00,05-25 20:07,Europe/Berlin,85518,65871,155182,82401
2026-05-25 18:08:00+00:00,05-25 20:08,Europe/Berlin,48307,42392,87269,56029
2026-05-25 18:09:00+00:00,05-25 20:09,Europe/Berlin,73902,59137,134221,73302
2026-05-25 18:10:00+00:00,05-25 20:10,Europe/Berlin,46394,39744,86110,53954
2026-05-25 18:11:00+00:00,05-25 20:11,Europe/Berlin,76963,58915,142340,74744
2026-05-25 18:12:00+00:00,05-25 20:12,Europe/Berlin,45007,39170,85210,54230
2026-05-25 18:13:00+00:00,05-25 20:13,Europe/Berlin,77189,58467,144040,75325
2026-05-25 18:14:00+00:00,05-25 20:14,Europe/Berlin,47972,41848,90587,58148
2026-05-25 18:15:00+00:00,05-25 20:15,Europe/Berlin,79423,60043,146773,75946
2026-05-25 18:16:00+00:00,05-25 20:16,Europe/Berlin,45603,39602,86163,55256
2026-05-25 18:17:00+00:00,05-25 20:17,Europe/Berlin,64337,55914,117782,71586
2026-05-25 18:18:00+00:00,05-25 20:18,Europe/Berlin,72110,59233,132481,75997
2026-05-25 18:19:00+00:00,05-25 20:19,Europe/Berlin,56610,46786,101731,59087
2026-05-25 18:20:00+00:00,05-25 20:20,Europe/Berlin,62976,55607,113704,73625
2026-05-25 18:21:00+00:00,05-25 20:21,Europe/Berlin,63211,54084,113725,67958
2026-05-25 18:22:00+00:00,05-25 20:22,Europe/Berlin,61669,53593,112585,71469
2026-05-25 18:23:00+00:00,05-25 20:23,Europe/Berlin,44776,38855,81956,51972
2026-05-25 18:24:00+00:00,05-25 20:24,Europe/Berlin,83073,66896,148614,82872
2026-05-25 18:25:00+00:00,05-25 20:25,Europe/Berlin,55146,49337,101116,65292
2026-05-25 18:26:00+00:00,05-25 20:26,Europe/Berlin,76386,60893,139375,78717
2026-05-25 18:27:00+00:00,05-25 20:27,Europe/Berlin,44522,39140,81358,52542
2026-05-25 18:28:00+00:00,05-25 20:28,Europe/Berlin,82859,64660,146887,79878
2026-05-25 18:29:00+00:00,05-25 20:29,Europe/Berlin,45319,39401,82242,52033
2026-05-25 18:30:00+00:00,05-25 20:30,Europe/Berlin,79702,62434,142999,77371
2026-05-25 18:31:00+00:00,05-25 20:31,Europe/Berlin,45117,38362,83209,51489
2026-05-25 18:32:00+00:00,05-25 20:32,Europe/Berlin,76843,60042,137265,74041
2026-05-25 18:33:00+00:00,05-25 20:33,Europe/Berlin,9216,8259,16505,11637
2026-05-25 18:34:00+00:00,05-25 20:34,Europe/Berlin,0,0,0,0
2026-05-25 18:35:00+00:00,05-25 20:35,Europe/Berlin,0,0,0,0
2026-05-25 18:36:00+00:00,05-25 20:36,Europe/Berlin,0,0,0,0
2026-05-25 18:37:00+00:00,05-25 20:37,Europe/Berlin,0,0,0,0
2026-05-25 18:38:00+00:00,05-25 20:38,Europe/Berlin,0,0,0,0
2026-05-25 18:39:00+00:00,05-25 20:39,Europe/Berlin,0,0,0,0
2026-05-25 18:40:00+00:00,05-25 20:40,Europe/Berlin,0,0,0,0
2026-05-25 18:41:00+00:00,05-25 20:41,Europe/Berlin,0,0,0,0
2026-05-25 18:42:00+00:00,05-25 20:42,Europe/Berlin,0,0,0,0
2026-05-25 18:43:00+00:00,05-25 20:43,Europe/Berlin,0,0,0,0
2026-05-25 18:44:00+00:00,05-25 20:44,Europe/Berlin,0,0,0,0
2026-05-25 18:45:00+00:00,05-25 20:45,Europe/Berlin,0,0,0,0
2026-05-25 18:46:00+00:00,05-25 20:46,Europe/Berlin,0,0,0,0
2026-05-25 18:47:00+00:00,05-25 20:47,Europe/Berlin,0,0,0,0
2026-05-25 18:48:00+00:00,05-25 20:48,Europe/Berlin,0,0,0,0
2026-05-25 18:49:00+00:00,05-25 20:49,Europe/Berlin,42831,35604,78027,48031
2026-05-25 18:50:00+00:00,05-25 20:50,Europe/Berlin,208189,151915,367617,178506
2026-05-25 18:51:00+00:00,05-25 20:51,Europe/Berlin,179585,159399,313252,188198
2026-05-25 18:52:00+00:00,05-25 20:52,Europe/Berlin,115342,110064,202221,128271
2026-05-25 18:53:00+00:00,05-25 20:53,Europe/Berlin,47938,43888,87284,58175
2026-05-25 18:54:00+00:00,05-25 20:54,Europe/Berlin,88366,75230,159578,93390
2026-05-25 18:55:00+00:00,05-25 20:55,Europe/Berlin,47019,43804,87573,59972
2026-05-25 18:56:00+00:00,05-25 20:56,Europe/Berlin,81690,68723,145323,86058
2026-05-25 18:57:00+00:00,05-25 20:57,Europe/Berlin,27009,25180,49544,34550
2026-05-25 18:58:00+00:00,05-25 20:58,Europe/Berlin,86791,71200,157429,89645
2026-05-25 18:59:00+00:00,05-25 20:59,Europe/Berlin,60601,56359,113530,76660
