scenario,tld,tld_label,mapped_tld_class,mapped_continent,timezone,business_window,business_buckets,weekday_off_hours_buckets,weekend_buckets,business_mean_share_pct,weekday_off_hours_mean_share_pct,weekend_mean_share_pct,business_lift_vs_weekday_off_hours,business_mean_unique_fqdn_count,weekday_off_hours_mean_unique_fqdn_count,count_lift_vs_weekday_off_hours,count_lift_ci95_low,count_lift_ci95_high,permutation_p_value,bootstrap_samples,permutation_shifts,holm_adjusted_p_value
baseline_google_generic_cctlds,uk,.uk,ccTLD,Europe,Europe/London,Mon-Fri 08:00-18:00 local,50,70,48,1.4272,1.345,1.3838,1.0612,31065.26,29552.729,1.0512,1.0229,1.0742,0.2083,10000,24,1.0
baseline_google_generic_cctlds,cn,.cn,ccTLD,Asia,Asia/Shanghai,Mon-Fri 08:00-18:00 local,50,70,48,1.1141,1.1257,1.1112,0.9898,25142.86,24127.971,1.0421,0.9692,1.141,0.6667,10000,24,1.0
baseline_google_generic_cctlds,br,.br,ccTLD,Americas,America/Sao_Paulo,Mon-Fri 08:00-18:00 local,50,70,48,1.2242,1.1493,1.1883,1.0652,26362.58,25590.286,1.0302,1.0064,1.0656,0.7917,10000,24,1.0
baseline_google_generic_cctlds,ru,.ru,ccTLD,Europe,Europe/Moscow,Mon-Fri 08:00-18:00 local,50,70,48,1.0249,1.026,1.2435,0.9989,22529.8,22317.129,1.0095,0.9317,1.0928,0.9583,10000,24,1.0
baseline_google_generic_cctlds,de,.de,ccTLD,Europe,Europe/Berlin,Mon-Fri 08:00-18:00 local,50,70,48,2.2419,2.2426,2.2639,0.9997,48962.66,49084.7,0.9975,0.9555,1.0404,1.0,10000,24,1.0
all_cctlds_regional,uk,.uk,ccTLD,Europe,Europe/London,Mon-Fri 08:00-18:00 local,50,70,48,1.4272,1.345,1.3838,1.0612,31065.26,29552.729,1.0512,1.0229,1.0742,0.2083,10000,24,1.0
all_cctlds_regional,io,.io,ccTLD,Asia,Indian/Chagos,Mon-Fri 08:00-18:00 local,50,70,48,3.0606,3.0579,3.2679,1.0009,68920.52,65668.814,1.0495,0.9637,1.1724,0.625,10000,24,1.0
all_cctlds_regional,cn,.cn,ccTLD,Asia,Asia/Shanghai,Mon-Fri 08:00-18:00 local,50,70,48,1.1141,1.1257,1.1112,0.9898,25142.86,24127.971,1.0421,0.9692,1.141,0.6667,10000,24,1.0
all_cctlds_regional,br,.br,ccTLD,Americas,America/Sao_Paulo,Mon-Fri 08:00-18:00 local,50,70,48,1.2242,1.1493,1.1883,1.0652,26362.58,25590.286,1.0302,1.0064,1.0656,0.7917,10000,24,1.0
all_cctlds_regional,de,.de,ccTLD,Europe,Europe/Berlin,Mon-Fri 08:00-18:00 local,50,70,48,2.2419,2.2426,2.2639,0.9997,48962.66,49084.7,0.9975,0.9555,1.0404,1.0,10000,24,1.0
suffix_type_only,uk,.uk,ccTLD,Europe,Europe/London,Mon-Fri 08:00-18:00 local,50,70,48,1.4272,1.345,1.3838,1.0612,31065.26,29552.729,1.0512,1.0229,1.0742,0.2083,10000,24,1.0
suffix_type_only,io,.io,ccTLD,Asia,Indian/Chagos,Mon-Fri 08:00-18:00 local,50,70,48,3.0606,3.0579,3.2679,1.0009,68920.52,65668.814,1.0495,0.9637,1.1724,0.625,10000,24,1.0
suffix_type_only,cn,.cn,ccTLD,Asia,Asia/Shanghai,Mon-Fri 08:00-18:00 local,50,70,48,1.1141,1.1257,1.1112,0.9898,25142.86,24127.971,1.0421,0.9692,1.141,0.6667,10000,24,1.0
suffix_type_only,br,.br,ccTLD,Americas,America/Sao_Paulo,Mon-Fri 08:00-18:00 local,50,70,48,1.2242,1.1493,1.1883,1.0652,26362.58,25590.286,1.0302,1.0064,1.0656,0.7917,10000,24,1.0
suffix_type_only,de,.de,ccTLD,Europe,Europe/Berlin,Mon-Fri 08:00-18:00 local,50,70,48,2.2419,2.2426,2.2639,0.9997,48962.66,49084.7,0.9975,0.9555,1.0404,1.0,10000,24,1.0
