scenario,region_bucket,reference_time_zone,observed_hour_buckets,weekday_hour_buckets,weekend_hour_buckets,overall_mean_unique_fqdns_per_hour,min_unique_fqdns_per_hour,max_unique_fqdns_per_hour,weekday_peak_hour,weekday_peak_mean_unique_fqdns_per_hour,weekday_mean_unique_fqdns_per_hour,weekend_mean_unique_fqdns_per_hour,baseline_mean_unique_fqdns_per_hour,mean_change_vs_baseline_pct
baseline_google_generic_cctlds,Global,Europe/Berlin,168,120,48,1728484,1568224,2037315,06:00,1854429,1740188,1699222,1728484,0.0
baseline_google_generic_cctlds,Europe,Europe/Berlin,168,120,48,261403,229130,309383,11:00,277606,259391,266434,261403,0.0
baseline_google_generic_cctlds,Americas,Europe/Berlin,168,120,48,62895,49721,75992,05:00,67281,62473,63951,62895,0.0
baseline_google_generic_cctlds,Asia,Europe/Berlin,168,120,48,80937,71051,99813,11:00,87517,80941,80928,80937,0.0
baseline_google_generic_cctlds,Africa,Europe/Berlin,168,120,48,19529,13581,41922,23:00,21908,18041,23250,19529,0.0
baseline_google_generic_cctlds,Oceania,Europe/Berlin,168,120,48,28399,23579,33215,06:00,30312,28096,29156,28399,0.0
baseline_google_generic_cctlds,Antarctica,Europe/Berlin,168,120,48,89,49,226,13:00,108,89,90,89,0.0
all_cctlds_regional,Global,Europe/Berlin,168,120,48,1597686,1444881,1875863,05:00,1725148,1613353,1558519,1728484,-7.567
all_cctlds_regional,Europe,Europe/Berlin,168,120,48,285681,245721,338871,11:00,300090,281374,296447,261403,9.288
all_cctlds_regional,Americas,Europe/Berlin,168,120,48,86365,70101,103491,05:00,91329,85642,88171,62895,37.316
all_cctlds_regional,Asia,Europe/Berlin,168,120,48,160828,136794,220092,11:00,172322,159462,164242,80937,98.708
all_cctlds_regional,Africa,Europe/Berlin,168,120,48,19998,13925,42348,23:00,22314,18517,23702,19529,2.402
all_cctlds_regional,Oceania,Europe/Berlin,168,120,48,31089,26150,36052,06:00,33260,30781,31859,28399,9.472
all_cctlds_regional,Antarctica,Europe/Berlin,168,120,48,89,49,226,13:00,108,89,90,89,0.0
suffix_type_only,Global,Europe/Berlin,168,120,48,1602783,1449301,1881100,05:00,1730460,1618161,1564339,1728484,-7.272
suffix_type_only,Europe,Europe/Berlin,168,120,48,284295,244541,337188,11:00,298639,280007,295014,261403,8.757
suffix_type_only,Americas,Europe/Berlin,168,120,48,84328,68342,101450,05:00,89404,83853,85514,62895,34.077
suffix_type_only,Asia,Europe/Berlin,168,120,48,159549,135820,218700,11:00,170900,158191,162944,80937,97.127
suffix_type_only,Africa,Europe/Berlin,168,120,48,19655,13681,41725,23:00,21916,18188,23324,19529,0.645
suffix_type_only,Oceania,Europe/Berlin,168,120,48,31037,26117,35989,06:00,33208,30730,31806,28399,9.289
suffix_type_only,Antarctica,Europe/Berlin,168,120,48,89,49,226,13:00,108,89,90,89,0.0
