scenario,analysis_group,tld,tld_label,mapped_tld_class,mapped_continent,selected_unique_fqdn_sum,selected_domain_occurrences,weekly_unique_fqdn_share_pct,rank_in_group
strip_wildcard_prefix,Global/non-regional TLD,com,.com,global_gTLD,Global,162099297,500567706,44.2252,1
strip_wildcard_prefix,Global/non-regional TLD,dev,.dev,global_gTLD,Global,33131428,152063443,9.0392,2
strip_wildcard_prefix,Global/non-regional TLD,net,.net,global_gTLD,Global,20502230,57936848,5.5936,3
strip_wildcard_prefix,Global/non-regional TLD,io,.io,globalized_ccTLD,Global,11439111,35142769,3.1209,4
strip_wildcard_prefix,Global/non-regional TLD,org,.org,global_gTLD,Global,10344277,31191520,2.8222,5
strip_wildcard_prefix,ccTLD/geographic TLD,de,.de,ccTLD,Europe,8234412,26414603,2.2466,1
strip_wildcard_prefix,ccTLD/geographic TLD,uk,.uk,ccTLD,Europe,5054822,15637067,1.3791,2
strip_wildcard_prefix,ccTLD/geographic TLD,br,.br,ccTLD,Americas,4329457,13960629,1.1812,3
strip_wildcard_prefix,ccTLD/geographic TLD,cn,.cn,ccTLD,Asia,4100467,14798397,1.1187,4
strip_wildcard_prefix,ccTLD/geographic TLD,ru,.ru,ccTLD,Europe,3981223,11546397,1.0862,5
retain_wildcard_distinct,Global/non-regional TLD,com,.com,global_gTLD,Global,189604349,500567706,42.9505,1
retain_wildcard_distinct,Global/non-regional TLD,dev,.dev,global_gTLD,Global,46049035,152063443,10.4313,2
retain_wildcard_distinct,Global/non-regional TLD,net,.net,global_gTLD,Global,22969091,57936848,5.2031,3
retain_wildcard_distinct,Global/non-regional TLD,io,.io,globalized_ccTLD,Global,13880302,35142769,3.1443,4
retain_wildcard_distinct,Global/non-regional TLD,org,.org,global_gTLD,Global,12208092,31191520,2.7655,5
retain_wildcard_distinct,ccTLD/geographic TLD,de,.de,ccTLD,Europe,9422210,26414603,2.1344,1
retain_wildcard_distinct,ccTLD/geographic TLD,uk,.uk,ccTLD,Europe,6135772,15637067,1.3899,2
retain_wildcard_distinct,ccTLD/geographic TLD,cn,.cn,ccTLD,Asia,5234941,14798397,1.1859,3
retain_wildcard_distinct,ccTLD/geographic TLD,br,.br,ccTLD,Americas,5173948,13960629,1.172,4
retain_wildcard_distinct,ccTLD/geographic TLD,ru,.ru,ccTLD,Europe,4291365,11546397,0.9721,5
