tld,region_bucket,unique_fqdn_count,domain_occurrences
.com,Global/unknown gTLD,743134,2316205
.dev,Global/unknown gTLD,120580,546353
.net,Global/unknown gTLD,91454,246579
.de,Europe ccTLD,76768,161767
.io,Global/unknown gTLD,59540,189800
.org,Global/unknown gTLD,47940,142868
.me,Europe ccTLD,31891,101978
.br,Other/unknown,26130,86378
.fr,Europe ccTLD,24368,52005
.uk,Europe ccTLD,21890,63884
.cn,Other/unknown,21393,75952
.nl,Europe ccTLD,20604,51687
.ru,Other/unknown,19108,58943
.it,Europe ccTLD,13982,34961
.xyz,Global/unknown gTLD,13937,48409
.eu,Europe ccTLD,13398,50083
.shop,Global/unknown gTLD,13054,53837
.top,Other/unknown,12789,46430
.in,Other/unknown,12051,34953
.be,Europe ccTLD,12031,25868
.info,Global/unknown gTLD,11938,48747
.au,Other/unknown,11747,34521
.ca,North America ccTLD,11317,33495
.co,Other/unknown,11022,37380
.online,Global/unknown gTLD,11004,35250
.at,Europe ccTLD,10745,20754
.site,Global/unknown gTLD,10463,35037
.app,Global/unknown gTLD,10455,34303
.cloud,Global/unknown gTLD,9943,28089
.pl,Europe ccTLD,9260,23590
.es,Europe ccTLD,8993,19895
.cc,Other/unknown,7634,28011
.to,Other/unknown,7519,66691
.direct,Other/unknown,7445,14804
.ch,Europe ccTLD,7441,21971
.ai,Other/unknown,7272,22450
.link,Other/unknown,7166,32812
.za,Other/unknown,7128,19314
.se,Europe ccTLD,6078,16392
.vip,Other/unknown,5654,23150
.cz,Europe ccTLD,5530,13248
.hu,Europe ccTLD,5388,13978
.id,Other/unknown,5243,17286
.us,North America ccTLD,5166,15955
.store,Global/unknown gTLD,4935,15250
.jp,Other/unknown,4862,14714
.pro,Other/unknown,4352,16994
.no,Europe ccTLD,4261,9736
.mx,North America ccTLD,4033,13213
.cl,Other/unknown,3377,10799
.pt,Europe ccTLD,3228,7313
.sbs,Other/unknown,3211,13308
.kr,Other/unknown,3150,7907
.fi,Europe ccTLD,3148,7212
.ro,Europe ccTLD,3110,10357
.gr,Europe ccTLD,2982,7563
.tr,Other/unknown,2765,8796
.space,Other/unknown,2763,8787
.vn,Other/unknown,2650,6863
.tech,Global/unknown gTLD,2614,8015
.dk,Europe ccTLD,2503,7584
.ar,Other/unknown,2485,7420
.click,Other/unknown,2453,11272
.page,Other/unknown,2380,6537
.my,Other/unknown,2370,11692
.biz,Global/unknown gTLD,2333,7826
.live,Other/unknown,2326,10253
.ee,Europe ccTLD,2229,5681
.nz,Other/unknown,2203,6009
.club,Other/unknown,2125,8658
.ir,Other/unknown,1907,6355
.aws,Other/unknown,1885,5919
.lat,Other/unknown,1851,6002
.edu,Other/unknown,1769,3082
.goog,Other/unknown,1751,2779
.ua,Europe ccTLD,1736,5674
.one,Other/unknown,1536,5133
.lt,Europe ccTLD,1533,4075
.world,Other/unknown,1483,5243
.bet,Other/unknown,1477,6640
.sk,Europe ccTLD,1476,4310
.cfd,Other/unknown,1429,6122
.digital,Other/unknown,1395,5486
.il,Other/unknown,1348,3486
.run,Other/unknown,1319,4533
.fun,Other/unknown,1238,4700
.xn--p1ai,Other/unknown,1229,3381
.hr,Europe ccTLD,1200,2846
.icu,Other/unknown,1197,5071
.ie,Europe ccTLD,1183,2907
.work,Other/unknown,1160,3981
.life,Other/unknown,1143,4446
.team,Other/unknown,1130,3351
.si,Europe ccTLD,1112,2523
.tv,Other/unknown,1104,3652
.lol,Other/unknown,1100,3890
.tw,Other/unknown,989,3007
.art,Other/unknown,974,3134
.ng,Other/unknown,954,3198
.cyou,Other/unknown,889,3607
.website,Other/unknown,830,3238
.blog,Other/unknown,773,2219
.asia,Other/unknown,756,3394
.ae,Other/unknown,731,2322
.studio,Other/unknown,725,2383
.buzz,Other/unknown,682,2870
.casa,Other/unknown,677,1997
.sg,Other/unknown,671,1924
.pk,Other/unknown,665,2015
.kz,Other/unknown,657,2372
.irish,Other/unknown,639,4119
.ke,Other/unknown,636,2078
.rs,Europe ccTLD,636,2039
.cat,Other/unknown,610,1121
.np,Other/unknown,605,1789
.lu,Europe ccTLD,588,1162
.nu,Other/unknown,543,1805
.lv,Europe ccTLD,535,1621
.pe,Other/unknown,534,1818
.by,Europe ccTLD,532,1455
.gd,Other/unknown,518,1525
.uz,Other/unknown,517,1431
.win,Other/unknown,490,2011
.host,Other/unknown,467,1715
.network,Other/unknown,462,1391
.agency,Other/unknown,458,1307
.ma,Other/unknown,452,1437
.hk,Other/unknown,443,1288
.ink,Other/unknown,402,1834
.sh,Other/unknown,401,1264
.th,Other/unknown,385,1195
.casino,Other/unknown,381,1192
.help,Other/unknown,370,1655
.autos,Other/unknown,368,1291
.ovh,Other/unknown,368,1149
.cd,Other/unknown,367,1496
.ph,Other/unknown,366,1210
.design,Other/unknown,359,1106
.bg,Europe ccTLD,357,1134
.news,Other/unknown,351,1232
.az,Other/unknown,347,1192
.beer,Other/unknown,339,1970
.media,Other/unknown,334,946
.onl,Other/unknown,323,889
