bucket_utc,total_unique_fqdn_count,Global,Europe,Americas,Asia,Africa,Oceania,Antarctica
2026-05-29 22:00:00+00:00,2332928,1815740,295823,69086,80774,41922,29498,85
2026-05-29 23:00:00+00:00,2295056,1791905,284784,68832,84347,35077,30044,67
2026-05-30 00:00:00+00:00,2362696,1838440,309383,69492,89630,24194,31429,128
2026-05-30 01:00:00+00:00,2242080,1757650,280043,70080,82305,22592,29282,128
2026-05-30 02:00:00+00:00,2133739,1681652,260733,64789,81423,17988,27082,72
2026-05-30 03:00:00+00:00,2120890,1663733,258705,68414,84010,19106,26842,80
2026-05-30 04:00:00+00:00,2156725,1694603,255717,67422,91094,19303,28516,70
2026-05-30 05:00:00+00:00,2142404,1691161,254593,65435,86856,16729,27549,81
2026-05-30 06:00:00+00:00,2096051,1648990,253596,64524,84870,14996,28962,113
2026-05-30 07:00:00+00:00,2140460,1675712,267669,67226,85504,15475,28790,84
2026-05-30 08:00:00+00:00,2151140,1690892,264768,64708,84271,15918,30506,77
2026-05-30 09:00:00+00:00,2139154,1677885,269703,63070,81751,16123,30561,61
2026-05-30 10:00:00+00:00,2176792,1685028,286360,65001,79939,31327,29079,58
2026-05-30 11:00:00+00:00,2108629,1655064,271323,61036,75654,18649,26831,72
2026-05-30 12:00:00+00:00,2159135,1705220,267799,64082,77852,15714,28378,90
2026-05-30 13:00:00+00:00,2074045,1632161,258766,63416,77650,16361,25593,98
2026-05-30 14:00:00+00:00,2117010,1664064,267552,60343,79606,20276,25071,98
2026-05-30 15:00:00+00:00,2105704,1648897,271927,63731,78603,16509,25954,83
2026-05-30 16:00:00+00:00,2247521,1756034,287988,63605,85638,26803,27366,87
2026-05-30 17:00:00+00:00,2262288,1789111,271534,67503,82085,23095,28881,79
2026-05-30 18:00:00+00:00,2154411,1701957,257876,65796,78829,21632,28162,159
2026-05-30 19:00:00+00:00,2170138,1711769,253715,65562,77568,32410,29019,95
2026-05-30 20:00:00+00:00,2112649,1658241,258631,62826,72128,33083,27667,73
2026-05-30 21:00:00+00:00,2105344,1650180,254175,63712,72307,36963,27843,164
2026-05-30 22:00:00+00:00,2067390,1615636,260488,61827,71999,29995,27374,71
2026-05-30 23:00:00+00:00,2047428,1598777,258378,64295,72729,26459,26729,61
