tld_label,tld,idn_unicode,source_tld_type,source_country_or_territory,source_region_bucket,mapped_tld_class,mapped_country_or_territory,mapped_continent,mapped_region_bucket,mapping_basis,mapping_note,observed_windows,window_unique_fqdn_sum,domain_occurrences,window_unique_fqdn_share_pct,occurrence_share_pct
.com,com,,global_gTLD,Global .com,Global .com,global_gTLD,Global,Global,Global/non-regional TLD,default_non_geographic_tld,Non-ccTLD and not in curated geographic gTLD overrides.,168,162059743,500568383,44.226,41.869
.dev,dev,,gTLD_or_unknown,,Other gTLD/unknown,global_gTLD,Global,Global,Global/non-regional TLD,default_non_geographic_tld,Non-ccTLD and not in curated geographic gTLD overrides.,168,33119036,152063984,9.038,12.719
.net,net,,gTLD_or_unknown,,Other gTLD/unknown,global_gTLD,Global,Global,Global/non-regional TLD,default_non_geographic_tld,Non-ccTLD and not in curated geographic gTLD overrides.,168,20497416,57936971,5.594,4.846
.io,io,,ccTLD,British Indian Ocean Territory,Asia ccTLD,globalized_ccTLD,British Indian Ocean Territory,Global,Global/non-regional TLD,google_search_generic_cctld_list,Formal ccTLD treated as generic for geographic analysis; list checked 2026-08-18.,168,11435795,35142837,3.121,2.94
.org,org,,gTLD_or_unknown,,Other gTLD/unknown,global_gTLD,Global,Global,Global/non-regional TLD,default_non_geographic_tld,Non-ccTLD and not in curated geographic gTLD overrides.,168,10341606,31191559,2.822,2.609
.de,de,,ccTLD,Germany,Europe ccTLD,ccTLD,Germany,Europe,Europe ccTLD/geographic TLD,existing_iso_cctld_mapping,,168,8232387,26414623,2.247,2.209
.uk,uk,,ccTLD,United Kingdom,Europe ccTLD,ccTLD,United Kingdom,Europe,Europe ccTLD/geographic TLD,existing_iso_cctld_mapping,,168,5053595,15637092,1.379,1.308
.br,br,,ccTLD,Brazil,Americas ccTLD,ccTLD,Brazil,Americas,Americas ccTLD/geographic TLD,existing_iso_cctld_mapping,,168,4328130,13960643,1.181,1.168
.cn,cn,,ccTLD,China,Asia ccTLD,ccTLD,China,Asia,Asia ccTLD/geographic TLD,existing_iso_cctld_mapping,,168,4099183,14798420,1.119,1.238
.me,me,,ccTLD,Montenegro,Europe ccTLD,globalized_ccTLD,Montenegro,Global,Global/non-regional TLD,google_search_generic_cctld_list,Formal ccTLD treated as generic for geographic analysis; list checked 2026-08-18.,168,4066906,12681340,1.11,1.061
.ru,ru,,ccTLD,Russia,Other ccTLD/territory,ccTLD,Russia,Europe,Europe ccTLD/geographic TLD,existing_iso_cctld_mapping,,168,3980500,11546403,1.086,0.966
.cloud,cloud,,gTLD_or_unknown,,Other gTLD/unknown,global_gTLD,Global,Global,Global/non-regional TLD,default_non_geographic_tld,Non-ccTLD and not in curated geographic gTLD overrides.,168,3289814,8375153,0.898,0.7
.nl,nl,,ccTLD,Netherlands,Europe ccTLD,ccTLD,Netherlands,Europe,Europe ccTLD/geographic TLD,existing_iso_cctld_mapping,,168,3253154,9882052,0.888,0.827
.xyz,xyz,,gTLD_or_unknown,,Other gTLD/unknown,global_gTLD,Global,Global,Global/non-regional TLD,default_non_geographic_tld,Non-ccTLD and not in curated geographic gTLD overrides.,168,3159351,9894351,0.862,0.828
.fr,fr,,ccTLD,France,Europe ccTLD,ccTLD,France,Europe,Europe ccTLD/geographic TLD,existing_iso_cctld_mapping,,168,2996254,8954957,0.818,0.749
.top,top,,gTLD_or_unknown,,Other gTLD/unknown,global_gTLD,Global,Global,Global/non-regional TLD,default_non_geographic_tld,Non-ccTLD and not in curated geographic gTLD overrides.,168,2875302,10054025,0.785,0.841
.au,au,,ccTLD,Australia,Oceania ccTLD,ccTLD,Australia,Oceania,Oceania ccTLD/geographic TLD,existing_iso_cctld_mapping,,168,2746115,8191987,0.749,0.685
.eu,eu,,ccTLD,European Union,Europe ccTLD,ccTLD,European Union,Europe,Europe ccTLD/geographic TLD,existing_iso_cctld_mapping,,168,2722539,11431700,0.743,0.956
.in,in,,ccTLD,India,Asia ccTLD,ccTLD,India,Asia,Asia ccTLD/geographic TLD,existing_iso_cctld_mapping,,168,2599444,7834956,0.709,0.655
.info,info,,gTLD_or_unknown,,Other gTLD/unknown,global_gTLD,Global,Global,Global/non-regional TLD,default_non_geographic_tld,Non-ccTLD and not in curated geographic gTLD overrides.,168,2489266,8572104,0.679,0.717
.co,co,,ccTLD,Colombia,Americas ccTLD,globalized_ccTLD,Colombia,Global,Global/non-regional TLD,google_search_generic_cctld_list,Formal ccTLD treated as generic for geographic analysis; list checked 2026-08-18.,168,2348515,7270090,0.641,0.608
.online,online,,gTLD_or_unknown,,Other gTLD/unknown,global_gTLD,Global,Global,Global/non-regional TLD,default_non_geographic_tld,Non-ccTLD and not in curated geographic gTLD overrides.,168,2296365,6776943,0.627,0.567
.it,it,,ccTLD,Italy,Europe ccTLD,ccTLD,Italy,Europe,Europe ccTLD/geographic TLD,existing_iso_cctld_mapping,,168,2274554,7710746,0.621,0.645
.site,site,,gTLD_or_unknown,,Other gTLD/unknown,global_gTLD,Global,Global,Global/non-regional TLD,default_non_geographic_tld,Non-ccTLD and not in curated geographic gTLD overrides.,168,2188916,6769694,0.597,0.566
.shop,shop,,gTLD_or_unknown,,Other gTLD/unknown,global_gTLD,Global,Global,Global/non-regional TLD,default_non_geographic_tld,Non-ccTLD and not in curated geographic gTLD overrides.,168,2179006,7217267,0.595,0.604
.ca,ca,,ccTLD,Canada,Americas ccTLD,ccTLD,Canada,Americas,Americas ccTLD/geographic TLD,existing_iso_cctld_mapping,,168,2163194,6390192,0.59,0.534
.za,za,,ccTLD,South Africa,Africa ccTLD,ccTLD,South Africa,Africa,Africa ccTLD/geographic TLD,existing_iso_cctld_mapping,,168,2162310,5997266,0.59,0.502
.app,app,,gTLD_or_unknown,,Other gTLD/unknown,global_gTLD,Global,Global,Global/non-regional TLD,default_non_geographic_tld,Non-ccTLD and not in curated geographic gTLD overrides.,168,2053941,6157424,0.56,0.515
.cc,cc,,ccTLD,Cocos (Keeling) Islands,Asia ccTLD,globalized_ccTLD,Cocos (Keeling) Islands,Global,Global/non-regional TLD,google_search_generic_cctld_list,Formal ccTLD treated as generic for geographic analysis; list checked 2026-08-18.,168,1950593,7533939,0.532,0.63
.direct,direct,,gTLD_or_unknown,,Other gTLD/unknown,global_gTLD,Global,Global,Global/non-regional TLD,default_non_geographic_tld,Non-ccTLD and not in curated geographic gTLD overrides.,168,1807118,4782572,0.493,0.4
.pl,pl,,ccTLD,Poland,Europe ccTLD,ccTLD,Poland,Europe,Europe ccTLD/geographic TLD,existing_iso_cctld_mapping,,168,1564054,5070116,0.427,0.424
.ai,ai,,ccTLD,Anguilla,Americas ccTLD,globalized_ccTLD,Anguilla,Global,Global/non-regional TLD,google_search_generic_cctld_list,Formal ccTLD treated as generic for geographic analysis; list checked 2026-08-18.,168,1419797,4035828,0.388,0.338
.ch,ch,,ccTLD,Switzerland,Europe ccTLD,ccTLD,Switzerland,Europe,Europe ccTLD/geographic TLD,existing_iso_cctld_mapping,,168,1406707,4392854,0.384,0.367
.be,be,,ccTLD,Belgium,Europe ccTLD,ccTLD,Belgium,Europe,Europe ccTLD/geographic TLD,existing_iso_cctld_mapping,,168,1383643,4072074,0.378,0.341
.us,us,,ccTLD,United States,Americas ccTLD,ccTLD,United States,Americas,Americas ccTLD/geographic TLD,existing_iso_cctld_mapping,,168,1370830,3886555,0.374,0.325
.id,id,,ccTLD,Indonesia,Asia ccTLD,ccTLD,Indonesia,Asia,Asia ccTLD/geographic TLD,existing_iso_cctld_mapping,,168,1279258,4346233,0.349,0.364
.to,to,,ccTLD,Tonga,Oceania ccTLD,ccTLD,Tonga,Oceania,Oceania ccTLD/geographic TLD,existing_iso_cctld_mapping,,168,1226584,11076146,0.335,0.926
.store,store,,gTLD_or_unknown,,Other gTLD/unknown,global_gTLD,Global,Global,Global/non-regional TLD,default_non_geographic_tld,Non-ccTLD and not in curated geographic gTLD overrides.,168,1217929,3538573,0.332,0.296
.jp,jp,,ccTLD,Japan,Asia ccTLD,ccTLD,Japan,Asia,Asia ccTLD/geographic TLD,existing_iso_cctld_mapping,,168,1047691,2992710,0.286,0.25
.se,se,,ccTLD,Sweden,Europe ccTLD,ccTLD,Sweden,Europe,Europe ccTLD/geographic TLD,existing_iso_cctld_mapping,,168,1033321,3393814,0.282,0.284
.at,at,,ccTLD,Austria,Europe ccTLD,ccTLD,Austria,Europe,Europe ccTLD/geographic TLD,existing_iso_cctld_mapping,,168,993288,2983112,0.271,0.249
.vip,vip,,gTLD_or_unknown,,Other gTLD/unknown,global_gTLD,Global,Global,Global/non-regional TLD,default_non_geographic_tld,Non-ccTLD and not in curated geographic gTLD overrides.,168,991436,3415296,0.271,0.286
.es,es,,ccTLD,Spain,Europe ccTLD,ccTLD,Spain,Europe,Europe ccTLD/geographic TLD,existing_iso_cctld_mapping,,168,988109,3345265,0.27,0.28
.pro,pro,,gTLD_or_unknown,,Other gTLD/unknown,global_gTLD,Global,Global,Global/non-regional TLD,default_non_geographic_tld,Non-ccTLD and not in curated geographic gTLD overrides.,168,901657,3501991,0.246,0.293
.cz,cz,,ccTLD,Czechia,Europe ccTLD,ccTLD,Czechia,Europe,Europe ccTLD/geographic TLD,existing_iso_cctld_mapping,,168,873887,3081890,0.238,0.258
.hu,hu,,ccTLD,Hungary,Europe ccTLD,ccTLD,Hungary,Europe,Europe ccTLD/geographic TLD,existing_iso_cctld_mapping,,168,838512,2619097,0.229,0.219
.mx,mx,,ccTLD,Mexico,Americas ccTLD,ccTLD,Mexico,Americas,Americas ccTLD/geographic TLD,existing_iso_cctld_mapping,,168,769927,2356014,0.21,0.197
.sbs,sbs,,gTLD_or_unknown,,Other gTLD/unknown,global_gTLD,Global,Global,Global/non-regional TLD,default_non_geographic_tld,Non-ccTLD and not in curated geographic gTLD overrides.,168,764736,2562463,0.209,0.214
.biz,biz,,gTLD_or_unknown,,Other gTLD/unknown,global_gTLD,Global,Global,Global/non-regional TLD,default_non_geographic_tld,Non-ccTLD and not in curated geographic gTLD overrides.,168,692164,2062939,0.189,0.173
.ro,ro,,ccTLD,Romania,Europe ccTLD,ccTLD,Romania,Europe,Europe ccTLD/geographic TLD,existing_iso_cctld_mapping,,168,680759,2541023,0.186,0.213
.nz,nz,,ccTLD,New Zealand,Oceania ccTLD,ccTLD,New Zealand,Oceania,Oceania ccTLD/geographic TLD,existing_iso_cctld_mapping,,168,668928,1970750,0.182,0.165
.dk,dk,,ccTLD,Denmark,Europe ccTLD,ccTLD,Denmark,Europe,Europe ccTLD/geographic TLD,existing_iso_cctld_mapping,,168,632705,2004097,0.173,0.168
.cl,cl,,ccTLD,Chile,Americas ccTLD,ccTLD,Chile,Americas,Americas ccTLD/geographic TLD,existing_iso_cctld_mapping,,168,626597,2063337,0.171,0.173
.one,one,,gTLD_or_unknown,,Other gTLD/unknown,global_gTLD,Global,Global,Global/non-regional TLD,default_non_geographic_tld,Non-ccTLD and not in curated geographic gTLD overrides.,168,619099,1675928,0.169,0.14
.ir,ir,,ccTLD,Iran,Asia ccTLD,ccTLD,Iran,Asia,Asia ccTLD/geographic TLD,existing_iso_cctld_mapping,,168,591003,2066929,0.161,0.173
.click,click,,gTLD_or_unknown,,Other gTLD/unknown,global_gTLD,Global,Global,Global/non-regional TLD,default_non_geographic_tld,Non-ccTLD and not in curated geographic gTLD overrides.,168,573557,2255731,0.156,0.189
.tech,tech,,gTLD_or_unknown,,Other gTLD/unknown,global_gTLD,Global,Global,Global/non-regional TLD,default_non_geographic_tld,Non-ccTLD and not in curated geographic gTLD overrides.,168,552611,1708034,0.151,0.143
.tr,tr,,ccTLD,Turkiye,Asia ccTLD,ccTLD,Turkiye,Asia,Asia ccTLD/geographic TLD,existing_iso_cctld_mapping,,168,537496,1870676,0.147,0.156
.page,page,,gTLD_or_unknown,,Other gTLD/unknown,global_gTLD,Global,Global,Global/non-regional TLD,default_non_geographic_tld,Non-ccTLD and not in curated geographic gTLD overrides.,168,512195,1380803,0.14,0.116
.space,space,,gTLD_or_unknown,,Other gTLD/unknown,global_gTLD,Global,Global,Global/non-regional TLD,default_non_geographic_tld,Non-ccTLD and not in curated geographic gTLD overrides.,168,460741,1604982,0.126,0.134
