bucket_utc,analysis_group,tld,tld_label,mapped_tld_class,mapped_continent,unique_fqdn_count,domain_occurrences,total_unique_fqdn_count,unique_fqdn_share,unique_fqdn_share_pct
2026-05-29 22:00:00+00:00,Global/non-regional TLD,com,.com,global_gTLD,Global,1036357,3004272,2332928,0.44423,44.423
2026-05-29 23:00:00+00:00,Global/non-regional TLD,com,.com,global_gTLD,Global,1020223,2922303,2295056,0.444531,44.4531
2026-05-30 00:00:00+00:00,Global/non-regional TLD,com,.com,global_gTLD,Global,1055723,3105259,2362696,0.44683,44.683
2026-05-30 01:00:00+00:00,Global/non-regional TLD,com,.com,global_gTLD,Global,1009460,3080011,2242080,0.450234,45.0234
2026-05-30 02:00:00+00:00,Global/non-regional TLD,com,.com,global_gTLD,Global,965969,3059998,2133739,0.452712,45.2712
2026-05-30 03:00:00+00:00,Global/non-regional TLD,com,.com,global_gTLD,Global,962605,2910503,2120890,0.453868,45.3868
2026-05-30 04:00:00+00:00,Global/non-regional TLD,com,.com,global_gTLD,Global,991746,2935557,2156725,0.459839,45.9839
2026-05-30 05:00:00+00:00,Global/non-regional TLD,com,.com,global_gTLD,Global,981285,2877817,2142404,0.45803,45.803
2026-05-30 06:00:00+00:00,Global/non-regional TLD,com,.com,global_gTLD,Global,952493,2884281,2096051,0.454423,45.4423
2026-05-30 07:00:00+00:00,Global/non-regional TLD,com,.com,global_gTLD,Global,955378,2905025,2140460,0.446342,44.6342
2026-05-30 08:00:00+00:00,Global/non-regional TLD,com,.com,global_gTLD,Global,979433,2875185,2151140,0.455309,45.5309
2026-05-30 09:00:00+00:00,Global/non-regional TLD,com,.com,global_gTLD,Global,971170,2856383,2139154,0.453997,45.3997
2026-05-30 10:00:00+00:00,Global/non-regional TLD,com,.com,global_gTLD,Global,972285,2855873,2176792,0.44666,44.666
2026-05-30 11:00:00+00:00,Global/non-regional TLD,com,.com,global_gTLD,Global,945671,2753639,2108629,0.448477,44.8477
2026-05-30 12:00:00+00:00,Global/non-regional TLD,com,.com,global_gTLD,Global,975076,2805933,2159135,0.451605,45.1605
2026-05-30 13:00:00+00:00,Global/non-regional TLD,com,.com,global_gTLD,Global,925771,2811939,2074045,0.44636,44.636
2026-05-30 14:00:00+00:00,Global/non-regional TLD,com,.com,global_gTLD,Global,936560,2818358,2117010,0.442398,44.2398
2026-05-30 15:00:00+00:00,Global/non-regional TLD,com,.com,global_gTLD,Global,945413,2762592,2105704,0.448977,44.8977
2026-05-30 16:00:00+00:00,Global/non-regional TLD,com,.com,global_gTLD,Global,1015906,3092179,2247521,0.452012,45.2012
2026-05-30 17:00:00+00:00,Global/non-regional TLD,com,.com,global_gTLD,Global,1013852,2980166,2262288,0.448153,44.8153
2026-05-30 18:00:00+00:00,Global/non-regional TLD,com,.com,global_gTLD,Global,974133,2791324,2154411,0.452157,45.2157
2026-05-30 19:00:00+00:00,Global/non-regional TLD,com,.com,global_gTLD,Global,993405,2895757,2170138,0.457761,45.7761
2026-05-30 20:00:00+00:00,Global/non-regional TLD,com,.com,global_gTLD,Global,956856,2711657,2112649,0.452918,45.2918
2026-05-30 21:00:00+00:00,Global/non-regional TLD,com,.com,global_gTLD,Global,946354,2764372,2105344,0.449501,44.9501
2026-05-30 22:00:00+00:00,Global/non-regional TLD,com,.com,global_gTLD,Global,924292,2704978,2067390,0.447082,44.7082
2026-05-30 23:00:00+00:00,Global/non-regional TLD,com,.com,global_gTLD,Global,921353,2565270,2047428,0.450005,45.0005
2026-05-31 00:00:00+00:00,Global/non-regional TLD,com,.com,global_gTLD,Global,973610,2910859,2154167,0.451966,45.1966
2026-05-31 01:00:00+00:00,Global/non-regional TLD,com,.com,global_gTLD,Global,955806,2827273,2119543,0.450949,45.0949
2026-05-31 02:00:00+00:00,Global/non-regional TLD,com,.com,global_gTLD,Global,1011304,2956641,2238146,0.451849,45.1849
2026-05-31 03:00:00+00:00,Global/non-regional TLD,com,.com,global_gTLD,Global,977609,2959727,2175300,0.449413,44.9413
2026-05-31 04:00:00+00:00,Global/non-regional TLD,com,.com,global_gTLD,Global,996707,2970935,2197100,0.453647,45.3647
2026-05-31 05:00:00+00:00,Global/non-regional TLD,com,.com,global_gTLD,Global,997059,2939453,2206624,0.451848,45.1848
2026-05-31 06:00:00+00:00,Global/non-regional TLD,com,.com,global_gTLD,Global,984904,2890422,2207397,0.446183,44.6183
2026-05-31 07:00:00+00:00,Global/non-regional TLD,com,.com,global_gTLD,Global,991432,2893473,2240162,0.442572,44.2572
2026-05-31 08:00:00+00:00,Global/non-regional TLD,com,.com,global_gTLD,Global,981252,2840648,2213538,0.443296,44.3296
2026-05-31 09:00:00+00:00,Global/non-regional TLD,com,.com,global_gTLD,Global,971985,2775861,2188991,0.444033,44.4033
2026-05-31 10:00:00+00:00,Global/non-regional TLD,com,.com,global_gTLD,Global,959915,2763913,2163451,0.443696,44.3696
2026-05-31 11:00:00+00:00,Global/non-regional TLD,com,.com,global_gTLD,Global,935927,2670595,2123605,0.440726,44.0726
